ConsultationID,Date,ConsultantID,ConsultantName,RegionID,StylistID,ClientID,ServiceID,ServiceName,ServiceCategory,ColourSeasonID,MainSeason,RevenueActual_GBP,RevenuePotential_GBP,Status,IsNewClient,NPS_Score,DeliveryMode,Year,MonthNum,MonthName,QuarterYear
CN0000012,2023-01-02,CON007,Kate Okoye,RG07,STY020,CL2946,SV05,Wardrobe Edit,Home visit — edits wardrobe to season-flattering pieces only.,CS01,Spring,244.72,244.72,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000013,2023-01-02,CON007,Kate Okoye,RG07,STY020,CL1748,SV07,Teen Colour Analysis,Colour analysis for ages 13-17.,CS05,Summer,219.5,219.5,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000014,2023-01-02,CON007,Kate Okoye,RG07,STY021,CL2293,SV06,Personal Shopping,Guided shopping trip with stylist.,CS10,Winter,304.47,304.47,Completed,No,8,In-Person,2023,01,January,Q1 2023
CN0000015,2023-01-02,CON008,Helen Chen,RG08,STY023,CL1073,SV11,Corporate Image Workshop,Workplace image & colour session. Per person.,CS05,Summer,147.3,147.3,Completed,No,7,In-Person,2023,01,January,Q1 2023
CN0000016,2023-01-02,CON009,Fiona Williams,RG09,STY026,CL2472,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS10,Winter,435.12,435.12,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000017,2023-01-02,CON009,Fiona Williams,RG09,STY026,CL1847,SV02,Style Analysis,"Most flattering shapes, lines, textures for body type.",CS05,Summer,203.0,203.0,Completed,Yes,9,In-Person,2023,01,January,Q1 2023
CN0000018,2023-01-02,CON010,Rachel Johnson,RG10,STY029,CL2866,SV09,Group Colour Workshop,Group session — colour theory & season basics. Per person.,CS09,Autumn,75.84,75.84,Completed,No,8,In-Person,2023,01,January,Q1 2023
CN0000019,2023-01-02,CON010,Rachel Johnson,RG10,STY029,CL1954,SV06,Personal Shopping,Guided shopping trip with stylist.,CS12,Winter,319.53,319.53,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000020,2023-01-02,CON010,Rachel Johnson,RG10,STY029,CL1105,SV04,Makeup Lesson,Personalised makeup using client season palette.,CS02,Spring,0,116.31,No-Show,No,,In-Person,2023,01,January,Q1 2023
CN0000021,2023-01-02,CON011,James Smith,RG01,STY031,CL0251,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS12,Winter,409.61,409.61,Completed,No,7,In-Person,2023,01,January,Q1 2023
CN0000022,2023-01-02,CON011,James Smith,RG01,STY031,CL2125,SV10,Follow-up Consultation,Review for existing clients.,CS06,Summer,91.48,91.48,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000023,2023-01-02,CON011,James Smith,RG01,STY031,CL0541,SV09,Group Colour Workshop,Group session — colour theory & season basics. Per person.,CS03,Spring,79.78,79.78,Completed,No,8,In-Person,2023,01,January,Q1 2023
CN0000024,2023-01-02,CON012,David Brown,RG02,STY034,CL0608,SV10,Follow-up Consultation,Review for existing clients.,CS12,Winter,102.66,102.66,Completed,No,7,In-Person,2023,01,January,Q1 2023
CN0000025,2023-01-02,CON012,David Brown,RG02,STY034,CL0559,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS02,Spring,434.35,434.35,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000026,2023-01-02,CON013,Mark Taylor,RG03,STY038,CL0780,SV05,Wardrobe Edit,Home visit — edits wardrobe to season-flattering pieces only.,CS06,Summer,255.12,255.12,Completed,No,6,In-Person,2023,01,January,Q1 2023
CN0000027,2023-01-02,CON013,Mark Taylor,RG03,STY037,CL0324,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS10,Winter,442.78,442.78,Completed,Yes,9,In-Person,2023,01,January,Q1 2023
CN0000028,2023-01-02,CON014,Tom Davis,RG04,STY039,CL1589,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS04,Summer,0,407.9,Cancelled,No,,In-Person,2023,01,January,Q1 2023
CN0000029,2023-01-02,CON016,Liam Wilson,RG06,STY044,CL0781,SV10,Follow-up Consultation,Review for existing clients.,CS07,Autumn,117.31,117.31,Completed,Yes,7,In-Person,2023,01,January,Q1 2023
CN0000030,2023-01-02,CON017,Michael Moore,RG07,STY047,CL1086,SV02,Style Analysis,"Most flattering shapes, lines, textures for body type.",CS07,Autumn,206.24,206.24,Completed,No,8,In-Person,2023,01,January,Q1 2023
CN0000031,2023-01-02,CON017,Michael Moore,RG07,STY049,CL2067,SV05,Wardrobe Edit,Home visit — edits wardrobe to season-flattering pieces only.,CS12,Winter,256.99,256.99,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000032,2023-01-02,CON019,Peter Thomas,RG09,STY053,CL2668,SV10,Follow-up Consultation,Review for existing clients.,CS06,Summer,102.76,102.76,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000033,2023-01-02,CON019,Peter Thomas,RG09,STY054,CL2679,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS02,Spring,287.53,287.53,Completed,Yes,9,In-Person,2023,01,January,Q1 2023
CN0000034,2023-01-02,CON021,Jessica White,RG01,STY060,CL0636,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS04,Summer,442.89,442.89,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000035,2023-01-02,CON022,Lucy Harris,RG02,STY064,CL0743,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS08,Autumn,434.19,434.19,Completed,Yes,10,In-Person,2023,01,January,Q1 2023
CN0000036,2023-01-02,CON023,Charlotte Martin,RG03,STY066,CL2555,SV12,Colour Fan Replacement,Replacement colour fan for existing clients.,CS04,Summer,35.45,35.45,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000037,2023-01-02,CON024,Amy Thompson,RG04,STY069,CL0941,SV10,Follow-up Consultation,Review for existing clients.,CS01,Spring,87.89,87.89,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000038,2023-01-02,CON025,Natalie Garcia,RG05,STY072,CL1869,SV10,Follow-up Consultation,Review for existing clients.,CS06,Summer,97.5,97.5,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000039,2023-01-03,CON001,Sophie Marlowe,RG01,STY001,CL1021,SV09,Group Colour Workshop,Group session — colour theory & season basics. Per person.,CS12,Winter,76.94,76.94,Completed,Yes,8,In-Person,2023,01,January,Q1 2023
CN0000040,2023-01-03,CON001,Sophie Marlowe,RG01,STY002,CL0946,SV10,Follow-up Consultation,Review for existing clients.,CS12,Winter,112.64,112.64,Completed,Yes,7,In-Person,2023,01,January,Q1 2023
CN0000041,2023-01-03,CON002,Emma Patel,RG02,STY005,CL0192,SV09,Group Colour Workshop,Group session — colour theory & season basics. Per person.,CS03,Spring,0,88.34,Cancelled,No,,In-Person,2023,01,January,Q1 2023
CN0000042,2023-01-03,CON002,Emma Patel,RG02,STY006,CL0068,SV09,Group Colour Workshop,Group session — colour theory & season basics. Per person.,CS02,Spring,0,98.71,Cancelled,No,,In-Person,2023,01,January,Q1 2023
CN0000043,2023-01-03,CON002,Emma Patel,RG02,STY003,CL0214,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS06,Summer,287.57,287.57,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000044,2023-01-03,CON002,Emma Patel,RG02,STY003,CL2239,SV07,Teen Colour Analysis,Colour analysis for ages 13-17.,CS08,Autumn,213.27,213.27,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000045,2023-01-03,CON003,Claire Hughes,RG03,STY007,CL2549,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS10,Winter,442.03,442.03,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000046,2023-01-03,CON003,Claire Hughes,RG03,STY009,CL1806,SV04,Makeup Lesson,Personalised makeup using client season palette.,CS03,Spring,128.77,128.77,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000047,2023-01-03,CON003,Claire Hughes,RG03,STY007,CL1298,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS10,Winter,302.11,302.11,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000048,2023-01-03,CON004,Lisa Carter,RG04,STY011,CL1044,SV02,Style Analysis,"Most flattering shapes, lines, textures for body type.",CS09,Autumn,217.89,217.89,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000049,2023-01-03,CON004,Lisa Carter,RG04,STY010,CL0313,SV08,Online Colour Analysis,Remote colour consultation via video call.,CS03,Spring,135.2,135.2,Completed,No,7,Online,2023,01,January,Q1 2023
CN0000050,2023-01-03,CON004,Lisa Carter,RG04,STY012,CL0172,SV11,Corporate Image Workshop,Workplace image & colour session. Per person.,CS04,Summer,174.3,174.3,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000051,2023-01-03,CON006,Anna Singh,RG06,STY018,CL0303,SV11,Corporate Image Workshop,Workplace image & colour session. Per person.,CS08,Autumn,169.52,169.52,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000052,2023-01-03,CON006,Anna Singh,RG06,STY019,CL2451,SV10,Follow-up Consultation,Review for existing clients.,CS03,Spring,0,84.14,No-Show,No,,In-Person,2023,01,January,Q1 2023
CN0000053,2023-01-03,CON006,Anna Singh,RG06,STY019,CL0730,SV08,Online Colour Analysis,Remote colour consultation via video call.,CS10,Winter,0,159.41,Cancelled,Yes,,Online,2023,01,January,Q1 2023
CN0000054,2023-01-03,CON006,Anna Singh,RG06,STY019,CL0719,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS03,Spring,307.81,307.81,Completed,No,8,In-Person,2023,01,January,Q1 2023
CN0000055,2023-01-03,CON007,Kate Okoye,RG07,STY020,CL1185,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS03,Spring,274.52,274.52,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000056,2023-01-03,CON008,Helen Chen,RG08,STY023,CL1567,SV10,Follow-up Consultation,Review for existing clients.,CS04,Summer,109.6,109.6,Completed,Yes,9,In-Person,2023,01,January,Q1 2023
CN0000057,2023-01-03,CON009,Fiona Williams,RG09,STY027,CL1814,SV02,Style Analysis,"Most flattering shapes, lines, textures for body type.",CS01,Spring,200.09,200.09,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000058,2023-01-03,CON009,Fiona Williams,RG09,STY025,CL1110,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS08,Autumn,437.18,437.18,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000059,2023-01-03,CON009,Fiona Williams,RG09,STY025,CL2804,SV08,Online Colour Analysis,Remote colour consultation via video call.,CS06,Summer,154.48,154.48,Completed,No,8,Online,2023,01,January,Q1 2023
CN0000060,2023-01-03,CON009,Fiona Williams,RG09,STY026,CL2556,SV04,Makeup Lesson,Personalised makeup using client season palette.,CS12,Winter,125.89,125.89,Completed,No,8,In-Person,2023,01,January,Q1 2023
CN0000061,2023-01-03,CON010,Rachel Johnson,RG10,STY029,CL0956,SV02,Style Analysis,"Most flattering shapes, lines, textures for body type.",CS05,Summer,198.09,198.09,Completed,Yes,8,In-Person,2023,01,January,Q1 2023
CN0000062,2023-01-03,CON010,Rachel Johnson,RG10,STY029,CL2324,SV10,Follow-up Consultation,Review for existing clients.,CS03,Spring,0,96.73,Cancelled,No,,In-Person,2023,01,January,Q1 2023
CN0000063,2023-01-03,CON012,David Brown,RG02,STY034,CL2680,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS06,Summer,276.04,276.04,Completed,No,7,In-Person,2023,01,January,Q1 2023
CN0000064,2023-01-03,CON012,David Brown,RG02,STY033,CL1682,SV11,Corporate Image Workshop,Workplace image & colour session. Per person.,CS04,Summer,141.07,141.07,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000065,2023-01-03,CON012,David Brown,RG02,STY036,CL1786,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS04,Summer,431.74,431.74,Completed,Yes,9,In-Person,2023,01,January,Q1 2023
CN0000066,2023-01-03,CON013,Mark Taylor,RG03,STY038,CL0737,SV02,Style Analysis,"Most flattering shapes, lines, textures for body type.",CS01,Spring,195.08,195.08,Completed,No,8,In-Person,2023,01,January,Q1 2023
CN0000067,2023-01-03,CON013,Mark Taylor,RG03,STY037,CL2258,SV07,Teen Colour Analysis,Colour analysis for ages 13-17.,CS06,Summer,187.78,187.78,Completed,No,8,In-Person,2023,01,January,Q1 2023
CN0000068,2023-01-03,CON014,Tom Davis,RG04,STY039,CL2351,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS09,Autumn,298.17,298.17,Completed,Yes,10,In-Person,2023,01,January,Q1 2023
CN0000069,2023-01-03,CON014,Tom Davis,RG04,STY039,CL0387,SV10,Follow-up Consultation,Review for existing clients.,CS03,Spring,94.88,94.88,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000070,2023-01-03,CON014,Tom Davis,RG04,STY040,CL2205,SV08,Online Colour Analysis,Remote colour consultation via video call.,CS03,Spring,151.74,151.74,Completed,Yes,6,Online,2023,01,January,Q1 2023
CN0000071,2023-01-03,CON016,Liam Wilson,RG06,STY046,CL1339,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS05,Summer,291.49,291.49,Completed,No,6,In-Person,2023,01,January,Q1 2023
CN0000072,2023-01-03,CON016,Liam Wilson,RG06,STY044,CL2760,SV09,Group Colour Workshop,Group session — colour theory & season basics. Per person.,CS01,Spring,101.78,101.78,Completed,No,5,In-Person,2023,01,January,Q1 2023
CN0000073,2023-01-03,CON016,Liam Wilson,RG06,STY045,CL2615,SV04,Makeup Lesson,Personalised makeup using client season palette.,CS09,Autumn,119.78,119.78,Completed,No,8,In-Person,2023,01,January,Q1 2023
CN0000074,2023-01-03,CON017,Michael Moore,RG07,STY048,CL1636,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS12,Winter,436.0,436.0,Completed,Yes,9,In-Person,2023,01,January,Q1 2023
CN0000075,2023-01-03,CON017,Michael Moore,RG07,STY049,CL0739,SV02,Style Analysis,"Most flattering shapes, lines, textures for body type.",CS02,Spring,0,185.64,Cancelled,No,,In-Person,2023,01,January,Q1 2023
CN0000076,2023-01-03,CON018,Oliver Anderson,RG08,STY052,CL0071,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS05,Summer,272.56,272.56,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000077,2023-01-03,CON019,Peter Thomas,RG09,STY053,CL1990,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS09,Autumn,273.6,273.6,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000078,2023-01-03,CON019,Peter Thomas,RG09,STY054,CL2497,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS10,Winter,428.01,428.01,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000079,2023-01-03,CON019,Peter Thomas,RG09,STY053,CL2251,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS01,Spring,278.77,278.77,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000080,2023-01-03,CON020,Andrew Jackson,RG10,STY056,CL0256,SV08,Online Colour Analysis,Remote colour consultation via video call.,CS01,Spring,167.45,167.45,Completed,Yes,9,Online,2023,01,January,Q1 2023
CN0000081,2023-01-03,CON020,Andrew Jackson,RG10,STY056,CL0395,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS01,Spring,430.27,430.27,Completed,Yes,8,In-Person,2023,01,January,Q1 2023
CN0000082,2023-01-03,CON020,Andrew Jackson,RG10,STY057,CL0963,SV04,Makeup Lesson,Personalised makeup using client season palette.,CS09,Autumn,110.08,110.08,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000083,2023-01-03,CON021,Jessica White,RG01,STY058,CL2704,SV06,Personal Shopping,Guided shopping trip with stylist.,CS10,Winter,282.39,282.39,Completed,Yes,10,In-Person,2023,01,January,Q1 2023
CN0000084,2023-01-03,CON021,Jessica White,RG01,STY059,CL1787,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS04,Summer,412.09,412.09,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000085,2023-01-03,CON021,Jessica White,RG01,STY059,CL1579,SV04,Makeup Lesson,Personalised makeup using client season palette.,CS11,Winter,118.58,118.58,Completed,Yes,5,In-Person,2023,01,January,Q1 2023
CN0000086,2023-01-03,CON022,Lucy Harris,RG02,STY065,CL2586,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS09,Autumn,277.08,277.08,Completed,No,8,In-Person,2023,01,January,Q1 2023
CN0000087,2023-01-03,CON022,Lucy Harris,RG02,STY062,CL0446,SV11,Corporate Image Workshop,Workplace image & colour session. Per person.,CS01,Spring,142.59,142.59,Completed,Yes,10,In-Person,2023,01,January,Q1 2023
CN0000088,2023-01-03,CON023,Charlotte Martin,RG03,STY066,CL0407,SV06,Personal Shopping,Guided shopping trip with stylist.,CS11,Winter,293.97,293.97,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000089,2023-01-03,CON025,Natalie Garcia,RG05,STY073,CL2869,SV08,Online Colour Analysis,Remote colour consultation via video call.,CS01,Spring,168.11,168.11,Completed,No,9,Online,2023,01,January,Q1 2023
CN0000090,2023-01-03,CON025,Natalie Garcia,RG05,STY073,CL2577,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS12,Winter,438.02,438.02,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000091,2023-01-04,CON001,Sophie Marlowe,RG01,STY001,CL1092,SV10,Follow-up Consultation,Review for existing clients.,CS04,Summer,104.85,104.85,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000092,2023-01-04,CON001,Sophie Marlowe,RG01,STY001,CL2061,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS12,Winter,419.09,419.09,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000093,2023-01-04,CON002,Emma Patel,RG02,STY006,CL1434,SV07,Teen Colour Analysis,Colour analysis for ages 13-17.,CS11,Winter,187.13,187.13,Completed,No,6,In-Person,2023,01,January,Q1 2023
CN0000094,2023-01-04,CON003,Claire Hughes,RG03,STY008,CL1510,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS12,Winter,426.35,426.35,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000095,2023-01-04,CON004,Lisa Carter,RG04,STY012,CL1836,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS04,Summer,294.67,294.67,Completed,Yes,10,In-Person,2023,01,January,Q1 2023
CN0000096,2023-01-04,CON004,Lisa Carter,RG04,STY013,CL2468,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS05,Summer,430.13,430.13,Completed,Yes,9,In-Person,2023,01,January,Q1 2023
CN0000097,2023-01-04,CON004,Lisa Carter,RG04,STY013,CL2490,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS01,Spring,280.72,280.72,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000098,2023-01-04,CON005,Sarah Walsh,RG05,STY017,CL0258,SV12,Colour Fan Replacement,Replacement colour fan for existing clients.,CS08,Autumn,49.38,49.38,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000099,2023-01-04,CON005,Sarah Walsh,RG05,STY016,CL2785,SV02,Style Analysis,"Most flattering shapes, lines, textures for body type.",CS08,Autumn,202.37,202.37,Completed,Yes,10,In-Person,2023,01,January,Q1 2023
CN0000100,2023-01-04,CON006,Anna Singh,RG06,STY019,CL0793,SV10,Follow-up Consultation,Review for existing clients.,CS10,Winter,84.5,84.5,Completed,No,8,In-Person,2023,01,January,Q1 2023
CN0000101,2023-01-04,CON007,Kate Okoye,RG07,STY022,CL1633,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS12,Winter,426.46,426.46,Completed,Yes,6,In-Person,2023,01,January,Q1 2023
CN0000102,2023-01-04,CON007,Kate Okoye,RG07,STY021,CL0115,SV05,Wardrobe Edit,Home visit — edits wardrobe to season-flattering pieces only.,CS05,Summer,242.64,242.64,Completed,No,8,In-Person,2023,01,January,Q1 2023
CN0000103,2023-01-04,CON007,Kate Okoye,RG07,STY020,CL0041,SV09,Group Colour Workshop,Group session — colour theory & season basics. Per person.,CS06,Summer,0,74.73,Cancelled,Yes,,In-Person,2023,01,January,Q1 2023
CN0000104,2023-01-04,CON007,Kate Okoye,RG07,STY021,CL1879,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS01,Spring,421.01,421.01,Completed,Yes,5,In-Person,2023,01,January,Q1 2023
CN0000105,2023-01-04,CON008,Helen Chen,RG08,STY023,CL1035,SV02,Style Analysis,"Most flattering shapes, lines, textures for body type.",CS06,Summer,210.81,210.81,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000106,2023-01-04,CON008,Helen Chen,RG08,STY024,CL2727,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS01,Spring,289.3,289.3,Completed,Yes,9,In-Person,2023,01,January,Q1 2023
CN0000107,2023-01-04,CON009,Fiona Williams,RG09,STY027,CL0435,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS09,Autumn,421.64,421.64,Completed,No,7,In-Person,2023,01,January,Q1 2023
CN0000108,2023-01-04,CON009,Fiona Williams,RG09,STY025,CL1518,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS01,Spring,405.03,405.03,Completed,No,8,In-Person,2023,01,January,Q1 2023
CN0000109,2023-01-04,CON010,Rachel Johnson,RG10,STY029,CL2444,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS06,Summer,0,270.69,No-Show,No,,In-Person,2023,01,January,Q1 2023
CN0000110,2023-01-04,CON010,Rachel Johnson,RG10,STY029,CL2286,SV02,Style Analysis,"Most flattering shapes, lines, textures for body type.",CS05,Summer,0,213.02,No-Show,No,,In-Person,2023,01,January,Q1 2023
CN0000111,2023-01-04,CON010,Rachel Johnson,RG10,STY030,CL1206,SV10,Follow-up Consultation,Review for existing clients.,CS07,Autumn,102.78,102.78,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000112,2023-01-04,CON012,David Brown,RG02,STY033,CL1698,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS11,Winter,406.25,406.25,Completed,No,8,In-Person,2023,01,January,Q1 2023
CN0000113,2023-01-04,CON013,Mark Taylor,RG03,STY038,CL1112,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS05,Summer,307.99,307.99,Completed,No,9,In-Person,2023,01,January,Q1 2023
CN0000114,2023-01-04,CON013,Mark Taylor,RG03,STY038,CL1124,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS11,Winter,443.19,443.19,Completed,No,5,In-Person,2023,01,January,Q1 2023
CN0000115,2023-01-04,CON013,Mark Taylor,RG03,STY038,CL1233,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS01,Spring,410.67,410.67,Completed,No,7,In-Person,2023,01,January,Q1 2023
CN0000116,2023-01-04,CON014,Tom Davis,RG04,STY040,CL1957,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS03,Spring,442.3,442.3,Completed,No,8,In-Person,2023,01,January,Q1 2023
CN0000117,2023-01-04,CON014,Tom Davis,RG04,STY039,CL0033,SV01,Colour Analysis,Full 2-hour colour draping. Season & sub-season identified. Colour Fan included.,CS06,Summer,278.62,278.62,Completed,No,10,In-Person,2023,01,January,Q1 2023
CN0000118,2023-01-04,CON016,Liam Wilson,RG06,STY046,CL1593,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS05,Summer,416.54,416.54,Completed,Yes,9,In-Person,2023,01,January,Q1 2023
CN0000119,2023-01-04,CON016,Liam Wilson,RG06,STY044,CL0700,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS02,Spring,426.38,426.38,Completed,Yes,9,In-Person,2023,01,January,Q1 2023
CN0000120,2023-01-04,CON017,Michael Moore,RG07,STY047,CL1425,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS04,Summer,411.65,411.65,Completed,Yes,10,In-Person,2023,01,January,Q1 2023
CN0000121,2023-01-04,CON018,Oliver Anderson,RG08,STY050,CL2697,SV03,Colour & Style Combined,Full colour + style analysis. Best value package.,CS03,Spring,442.22,442.22,Completed,No,10,In-Person,2023,01,January,Q1 2023
